action,asset,quantity,price,total_cost,total_revenue,realized_pl
buy,ACB,11512,25.8,298405.54512,,
buy,MBB,15715,18.9,298409.46345,,
buy,HCM,11490,25.85,298412.47754999995,,
sell,ACB,11512,24.0,,274989.4464,-23416.09872000001
sell,MBB,15715,17.3,,270591.71335,-27817.750100000005
sell,HCM,11490,23.2,,265315.13039999997,-33097.34714999999
buy,QNS,7046,38.6,273253.88532,,
buy,NCT,3052,89.1,273211.28604,,
buy,ACV,3218,84.5,273199.02869999997,,
sell,QNS,7046,41.4,,290333.38931999996,17079.503999999957
sell,NCT,3052,86.5,,262757.2094,-10454.076639999985
sell,ACV,3218,78.8,,252386.58151999998,-20812.44717999999
buy,CTD,4868,55.0,268998.37799999997,,
buy,VIC,5080,52.7,268974.26519999997,,
buy,VTP,8554,31.3,268998.57894,,
sell,CTD,4868,63.4,,307180.63336,38182.25536000001
sell,VIC,5080,52.1,,263424.0604,-5550.204799999949
sell,VTP,8554,35.3,,300537.0058599999,31538.42691999994
buy,VTP,8195,35.0,288173.07749999996,,
buy,CTD,4345,66.0,288117.81899999996,,
buy,MBB,15297,18.75,288166.798125,,
sell,VTP,8195,39.8,,324628.04329999996,36454.965800000005
sell,CTD,4345,65.0,,281097.6025,-7020.21649999998
sell,MBB,15297,19.65,,299173.295565,11006.497440000006
buy,VTP,7324,40.8,300223.65023999993,,
buy,ACB,13771,21.7,300235.20428999997,,
buy,FPT,3482,85.8,300159.75132,,
sell,VTP,7324,43.1,,314180.77732,13957.127080000064
sell,ACB,13771,22.0,,301538.0786,1302.874310000043
sell,FPT,3482,80.3,,278290.45837999997,-21869.292940000014
buy,MBB,15918,18.65,298265.9922899999,,
buy,TCB,9191,32.3,298264.58570999996,,
buy,VTP,6686,44.4,298253.63447999995,,
sell,MBB,15918,18.15,,287553.81500999996,-10712.177279999945
sell,TCB,9191,32.75,,299590.525325,1325.9396150000393
sell,VTP,6686,39.6,,263521.20168,-34732.43279999995
buy,NLG,7993,35.5,285085.13204999996,,
buy,MWG,5675,50.0,285083.625,,
buy,VTP,7202,39.4,285092.46635999996,,
sell,NLG,7993,38.35,,305090.851715,20005.71966500004
sell,MWG,5675,55.8,,315176.67449999996,30093.049499999965
sell,VTP,7202,48.8,,349805.74928,64713.28292000003
buy,STB,9826,32.35,319365.09417,,
buy,VTP,6383,49.8,319367.40497999993,,
buy,BWE,6727,47.25,319344.64852499997,,
sell,STB,9826,30.1,,294372.51578,-24992.57838999998
sell,VTP,6383,46.5,,295414.49535,-23952.90962999995
sell,BWE,6727,45.5,,304639.93105,-14704.717474999954
buy,VTP,6294,47.5,300370.1355,,
buy,MBB,16795,17.8,300356.0697,,
buy,DBD,5058,59.1,300332.76065999997,,
sell,VTP,6294,47.4,,296933.42267999996,-3436.712820000015
sell,MBB,16795,18.0,,300889.143,533.0732999999891
sell,DBD,5058,57.5,,289468.0755,-10864.685159999994
buy,ACB,13047,22.6,296248.05234,,
buy,DBD,5128,57.5,296245.842,,
buy,MBB,16291,18.1,296252.97537,,
sell,ACB,13047,23.2,,301267.7551199999,5019.702779999934
sell,DBD,5128,54.5,,278162.4628,-18083.379200000025
sell,MBB,16291,18.15,,294291.94624499994,-1961.0291250000591
buy,VTP,6012,48.3,291744.38411999994,,
buy,HPG,10677,27.2,291779.34767999995,,
buy,MBB,16000,18.15,291764.88,,
sell,VTP,6012,62.8,,375779.09807999997,84034.71396000002
sell,HPG,10677,28.3,,300738.95223,8959.604550000047
sell,MBB,16000,22.1,,351938.07999999996,60173.19999999995
buy,VTP,5331,63.0,337431.50909999997,,
buy,CTG,10432,32.2,337489.17888,,
buy,ACB,12894,26.05,337467.37689,,
sell,VTP,5331,66.3,,351784.10708999995,14352.59798999998
sell,CTG,10432,31.6,,328101.83936,-9387.339520000038
sell,ACB,12894,25.75,,330460.00364999997,-7007.3732400000445
