datetime,total_assets,cash,number_of_trades,number_of_winners,sum_of_winners,sum_of_losers
2023-02-02,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-03,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-06,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-07,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-08,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-09,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-10,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-13,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-14,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-15,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-16,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-17,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-20,995812.08286,104765.88286000001,0,0,0.0,0.0
2023-02-21,988295.28286,104765.88286000001,0,0,0.0,0.0
2023-02-22,980246.4828600001,104765.88286000001,0,0,0.0,0.0
2023-02-23,983476.8828599999,104765.88286000001,0,0,0.0,0.0
2023-02-24,965744.88286,104765.88286000001,0,0,0.0,0.0
2023-02-27,955309.1828600001,104765.88286000001,0,0,0.0,0.0
2023-02-28,960757.1828600001,104765.88286000001,0,0,0.0,0.0
2023-03-01,972768.3828599999,104765.88286000001,0,0,0.0,0.0
2023-03-02,962681.28286,104765.88286000001,0,0,0.0,0.0
2023-03-03,956021.08286,104765.88286000001,0,0,0.0,0.0
2023-03-06,960024.6828600001,104765.88286000001,0,0,0.0,0.0
2023-03-07,963258.08286,104765.88286000001,0,0,0.0,0.0
2023-03-08,972239.88286,104765.88286000001,0,0,0.0,0.0
2023-03-09,977449.1828600001,104765.88286000001,0,0,0.0,0.0
2023-03-10,971386.2828599999,104765.88286000001,0,0,0.0,0.0
2023-03-13,960121.08286,104765.88286000001,0,0,0.0,0.0
2023-03-14,947156.2828599999,104765.88286000001,0,0,0.0,0.0
2023-03-15,970653.7828599999,104765.88286000001,0,0,0.0,0.0
2023-03-16,960850.08286,104765.88286000001,0,0,0.0,0.0
2023-03-17,960262.7828600002,104765.88286000001,0,0,0.0,0.0
2023-03-20,947161.32788,947161.32788,3,0,0.0,52838.672119999945
2023-03-21,943194.84936,99263.24936000002,0,0,0.0,0.0
2023-03-22,942294.99936,99263.24936000002,0,0,0.0,0.0
2023-03-23,945627.5493600001,99263.24936000002,0,0,0.0,0.0
2023-03-24,948337.2993600001,99263.24936000002,0,0,0.0,0.0
2023-03-27,944883.7993600001,99263.24936000002,0,0,0.0,0.0
2023-03-28,951290.69936,99263.24936000002,0,0,0.0,0.0
2023-03-29,950228.94936,99263.24936000002,0,0,0.0,0.0
2023-03-30,967260.74936,99263.24936000002,0,0,0.0,0.0
2023-03-31,979524.84936,99263.24936000002,0,0,0.0,0.0
2023-04-03,990737.39936,99263.24936000002,0,0,0.0,0.0
2023-04-04,986138.99936,99263.24936000002,0,0,0.0,0.0
2023-04-05,999663.14936,99263.24936000002,0,0,0.0,0.0
2023-04-06,1001982.14936,99263.24936000002,0,0,0.0,0.0
2023-04-07,993851.2993600001,99263.24936000002,0,0,0.0,0.0
2023-04-10,988348.64936,99263.24936000002,0,0,0.0,0.0
2023-04-11,1001869.99936,99263.24936000002,0,0,0.0,0.0
2023-04-12,994501.89936,99263.24936000002,0,0,0.0,0.0
2023-04-13,996625.39936,99263.24936000002,0,0,0.0,0.0
2023-04-14,990073.99936,99263.24936000002,0,0,0.0,0.0
2023-04-17,994258.24936,99263.24936000002,0,0,0.0,0.0
2023-04-18,986289.49936,99263.24936000002,0,0,0.0,0.0
2023-04-19,978030.34936,99263.24936000002,0,0,0.0,0.0
2023-04-20,969912.6238350001,969912.6238350001,3,1,36067.99025000003,13316.694294999936
2023-04-21,965851.0262450001,101681.32624500012,0,0,0.0,0.0
2023-04-24,961642.1262450002,101681.32624500012,0,0,0.0,0.0
2023-04-25,971996.7262450001,101681.32624500012,0,0,0.0,0.0
2023-04-26,975609.8262450001,101681.32624500012,0,0,0.0,0.0
2023-04-27,975101.7262450001,101681.32624500012,0,0,0.0,0.0
2023-04-28,977167.1262450002,101681.32624500012,0,0,0.0,0.0
2023-05-04,967829.6262450002,101681.32624500012,0,0,0.0,0.0
2023-05-05,971850.7262450001,101681.32624500012,0,0,0.0,0.0
2023-05-08,984423.0262450001,101681.32624500012,0,0,0.0,0.0
2023-05-09,984748.126245,101681.32624500012,0,0,0.0,0.0
2023-05-10,981835.4262450001,101681.32624500012,0,0,0.0,0.0
2023-05-11,992882.8262450001,101681.32624500012,0,0,0.0,0.0
2023-05-12,1017063.6262450002,101681.32624500012,0,0,0.0,0.0
2023-05-15,1011580.5262450001,101681.32624500012,0,0,0.0,0.0
2023-05-16,1009643.4262450001,101681.32624500012,0,0,0.0,0.0
2023-05-17,1016203.626245,101681.32624500012,0,0,0.0,0.0
2023-05-18,1037678.1262450002,101681.32624500012,0,0,0.0,0.0
2023-05-19,1063386.8448450002,470700.7448450001,1,1,72589.71649999998,0.0
2023-05-22,1072138.339655,1072138.339655,2,2,29635.999320000003,0.0
2023-05-23,1067648.80824,112429.35824000003,0,0,0.0,0.0
2023-05-24,1093379.2582399999,112429.35824000003,0,0,0.0,0.0
2023-05-25,1138813.80824,112429.35824000003,0,0,0.0,0.0
2023-05-26,1153720.04074,537944.99074,1,1,93915.10079000005,0.0
2023-05-29,1160402.54074,537944.99074,0,0,0.0,0.0
2023-05-30,1161306.74074,537944.99074,0,0,0.0,0.0
2023-05-31,1161130.19074,537944.99074,0,0,0.0,0.0
2023-06-01,1172517.3907400002,537944.99074,0,0,0.0,0.0
2023-06-02,1190304.39074,537944.99074,0,0,0.0,0.0
2023-06-05,1187408.0907400001,537944.99074,0,0,0.0,0.0
2023-06-06,1197516.54074,537944.99074,0,0,0.0,0.0
2023-06-07,1196343.94074,537944.99074,0,0,0.0,0.0
2023-06-08,1182971.79074,537944.99074,0,0,0.0,0.0
2023-06-09,1187937.74074,537944.99074,0,0,0.0,0.0
2023-06-12,1190918.74074,537944.99074,0,0,0.0,0.0
2023-06-13,1200504.69074,537944.99074,0,0,0.0,0.0
2023-06-14,1182074.74074,537944.99074,0,0,0.0,0.0
2023-06-15,1184879.19074,537944.99074,0,0,0.0,0.0
2023-06-16,1184879.19074,537944.99074,0,0,0.0,0.0
2023-06-19,1176112.74074,537944.99074,0,0,0.0,0.0
2023-06-20,1177430.267005,1177430.267005,2,1,11690.04144,313.2148800000432
2023-06-21,1172499.342845,123366.54284500005,0,0,0.0,0.0
2023-06-22,1170597.1428450001,123366.54284500005,0,0,0.0,0.0
2023-06-23,1181449.1428450001,123366.54284500005,0,0,0.0,0.0
2023-06-26,1197910.042845,123366.54284500005,0,0,0.0,0.0
2023-06-27,1193438.342845,123366.54284500005,0,0,0.0,0.0
2023-06-28,1193066.742845,123366.54284500005,0,0,0.0,0.0
2023-06-29,1172719.1428450001,123366.54284500005,0,0,0.0,0.0
2023-06-30,1176819.242845,123366.54284500005,0,0,0.0,0.0
2023-07-03,1176819.242845,123366.54284500005,0,0,0.0,0.0
2023-07-04,1186927.542845,123366.54284500005,0,0,0.0,0.0
2023-07-05,1187464.342845,123366.54284500005,0,0,0.0,0.0
2023-07-06,1180176.342845,123366.54284500005,0,0,0.0,0.0
2023-07-07,1190445.342845,123366.54284500005,0,0,0.0,0.0
2023-07-10,1200784.342845,123366.54284500005,0,0,0.0,0.0
2023-07-11,1193146.542845,123366.54284500005,0,0,0.0,0.0
2023-07-12,1189433.442845,123366.54284500005,0,0,0.0,0.0
2023-07-13,1192894.542845,123366.54284500005,0,0,0.0,0.0
2023-07-14,1204626.042845,123366.54284500005,0,0,0.0,0.0
2023-07-17,1203663.042845,123366.54284500005,0,0,0.0,0.0
2023-07-18,1207029.042845,123366.54284500005,0,0,0.0,0.0
2023-07-19,1204594.542845,123366.54284500005,0,0,0.0,0.0
2023-07-20,1198648.353195,1198648.353195,3,3,21218.086189999944,0.0
2023-07-21,1193628.98796,125678.93796000007,0,0,0.0,0.0
2023-07-24,1197632.68796,125678.93796000007,0,0,0.0,0.0
2023-07-25,1198347.53796,125678.93796000007,0,0,0.0,0.0
2023-07-26,1198274.68796,125678.93796000007,0,0,0.0,0.0
2023-07-27,1188838.13796,125678.93796000007,0,0,0.0,0.0
2023-07-28,1189925.63796,125678.93796000007,0,0,0.0,0.0
2023-07-31,1188470.7879599999,125678.93796000007,0,0,0.0,0.0
2023-08-01,1191686.7879599999,125678.93796000007,0,0,0.0,0.0
2023-08-02,1192530.63796,125678.93796000007,0,0,0.0,0.0
2023-08-03,1188984.38796,125678.93796000007,0,0,0.0,0.0
2023-08-04,1190787.93796,125678.93796000007,0,0,0.0,0.0
2023-08-07,1209648.48796,125678.93796000007,0,0,0.0,0.0
2023-08-08,1207760.13796,125678.93796000007,0,0,0.0,0.0
2023-08-09,1204857.0879600001,125678.93796000007,0,0,0.0,0.0
2023-08-10,1192488.23796,125678.93796000007,0,0,0.0,0.0
2023-08-11,1193560.23796,125678.93796000007,0,0,0.0,0.0
2023-08-14,1190115.4879599998,125678.93796000007,0,0,0.0,0.0
2023-08-15,1193418.08796,125678.93796000007,0,0,0.0,0.0
2023-08-16,1200137.93796,125678.93796000007,0,0,0.0,0.0
2023-08-17,1208323.98796,125678.93796000007,0,0,0.0,0.0
2023-08-18,1171817.0379599999,125678.93796000007,0,0,0.0,0.0
2023-08-21,1166120.321575,1166120.321575,3,0,0.0,32528.031619999965
2023-08-22,1161236.7569650002,122180.45696500014,0,0,0.0,0.0
2023-08-23,1167073.9569650004,122180.45696500014,0,0,0.0,0.0
2023-08-24,1179445.556965,122180.45696500014,0,0,0.0,0.0
2023-08-25,1201652.9569650001,122180.45696500014,0,0,0.0,0.0
2023-08-28,1206834.356965,122180.45696500014,0,0,0.0,0.0
2023-08-29,1211089.5569650002,122180.45696500014,0,0,0.0,0.0
2023-08-30,1227487.9569650001,122180.45696500014,0,0,0.0,0.0
2023-08-31,1228844.8569650003,122180.45696500014,0,0,0.0,0.0
2023-09-05,1231627.356965,122180.45696500014,0,0,0.0,0.0
2023-09-06,1230470.156965,122180.45696500014,0,0,0.0,0.0
2023-09-07,1240702.656965,122180.45696500014,0,0,0.0,0.0
2023-09-08,1245141.7569650002,122180.45696500014,0,0,0.0,0.0
2023-09-11,1227555.3569650003,122180.45696500014,0,0,0.0,0.0
2023-09-12,1236940.9569650001,122180.45696500014,0,0,0.0,0.0
2023-09-13,1226347.7569650002,122180.45696500014,0,0,0.0,0.0
2023-09-14,1213275.156965,122180.45696500014,0,0,0.0,0.0
2023-09-15,1212751.556965,122180.45696500014,0,0,0.0,0.0
2023-09-18,1205225.5569650002,122180.45696500014,0,0,0.0,0.0
2023-09-19,1225151.856965,122180.45696500014,0,0,0.0,0.0
2023-09-20,1227703.462515,1227703.462515,3,3,61583.14094000007,0.0
2023-09-21,1222562.504285,128741.60428500018,0,0,0.0,0.0
2023-09-22,1187502.6042850001,128741.60428500018,0,0,0.0,0.0
2023-09-25,1173556.6042850001,128741.60428500018,0,0,0.0,0.0
2023-09-26,1172069.6042850001,128741.60428500018,0,0,0.0,0.0
2023-09-27,1180140.1042850001,128741.60428500018,0,0,0.0,0.0
2023-09-28,1185079.504285,128741.60428500018,0,0,0.0,0.0
2023-09-29,1196790.3042850003,128741.60428500018,0,0,0.0,0.0
2023-10-02,1205336.704285,128741.60428500018,0,0,0.0,0.0
2023-10-03,1191279.5042850003,128741.60428500018,0,0,0.0,0.0
2023-10-04,1196319.9042850002,128741.60428500018,0,0,0.0,0.0
2023-10-05,1194097.6042850001,128741.60428500018,0,0,0.0,0.0
2023-10-06,1202902.4042850002,128741.60428500018,0,0,0.0,0.0
2023-10-09,1228063.2042850002,128741.60428500018,0,0,0.0,0.0
2023-10-10,1238511.9042850002,128741.60428500018,0,0,0.0,0.0
2023-10-11,1240013.804285,128741.60428500018,0,0,0.0,0.0
2023-10-12,1242208.304285,128741.60428500018,0,0,0.0,0.0
2023-10-13,1241224.504285,128741.60428500018,0,0,0.0,0.0
2023-10-16,1237496.1042850001,128741.60428500018,0,0,0.0,0.0
2023-10-17,1215870.6042850001,128741.60428500018,0,0,0.0,0.0
2023-10-18,1212504.4042850002,128741.60428500018,0,0,0.0,0.0
2023-10-19,1195020.1042850001,128741.60428500018,0,0,0.0,0.0
2023-10-20,1196293.8153050002,1196293.8153050002,3,1,6903.65750000003,38313.30471
2023-10-23,1191284.0359550002,125373.5359550002,0,0,0.0,0.0
2023-10-24,1192611.8359550002,125373.5359550002,0,0,0.0,0.0
2023-10-25,1196720.5359550002,125373.5359550002,0,0,0.0,0.0
2023-10-26,1167229.935955,125373.5359550002,0,0,0.0,0.0
2023-10-27,1173265.8359550002,125373.5359550002,0,0,0.0,0.0
2023-10-30,1151948.3359550002,125373.5359550002,0,0,0.0,0.0
2023-10-31,1146876.5359550002,125373.5359550002,0,0,0.0,0.0
2023-11-01,1141059.835955,125373.5359550002,0,0,0.0,0.0
2023-11-02,1158308.335955,125373.5359550002,0,0,0.0,0.0
2023-11-03,1150641.7359550002,125373.5359550002,0,0,0.0,0.0
2023-11-06,1169536.0359550002,125373.5359550002,0,0,0.0,0.0
2023-11-07,1156663.935955,125373.5359550002,0,0,0.0,0.0
2023-11-08,1180125.6359550003,125373.5359550002,0,0,0.0,0.0
2023-11-09,1182518.4359550003,125373.5359550002,0,0,0.0,0.0
2023-11-10,1167099.835955,125373.5359550002,0,0,0.0,0.0
2023-11-13,1169044.635955,125373.5359550002,0,0,0.0,0.0
2023-11-14,1179278.8359550002,125373.5359550002,0,0,0.0,0.0
2023-11-15,1185286.8359550002,125373.5359550002,0,0,0.0,0.0
2023-11-16,1185239.935955,125373.5359550002,0,0,0.0,0.0
2023-11-17,1177392.7359550002,125373.5359550002,0,0,0.0,0.0
2023-11-20,1169569.2409350001,1169569.2409350001,3,1,617.2795199999819,27341.85388999997
2023-11-21,1164671.9119050002,122687.01190500014,0,0,0.0,0.0
2023-11-22,1170159.3119050001,122687.01190500014,0,0,0.0,0.0
2023-11-23,1159986.8119050001,122687.01190500014,0,0,0.0,0.0
2023-11-24,1162501.7619050003,122687.01190500014,0,0,0.0,0.0
2023-11-27,1155637.761905,122687.01190500014,0,0,0.0,0.0
2023-11-28,1155510.3119050001,122687.01190500014,0,0,0.0,0.0
2023-11-29,1162302.0619050001,122687.01190500014,0,0,0.0,0.0
2023-11-30,1157813.1619050002,122687.01190500014,0,0,0.0,0.0
2023-12-01,1161607.4619050003,122687.01190500014,0,0,0.0,0.0
2023-12-04,1166288.1119050002,122687.01190500014,0,0,0.0,0.0
2023-12-05,1164424.7619050003,122687.01190500014,0,0,0.0,0.0
2023-12-06,1163092.9119050002,122687.01190500014,0,0,0.0,0.0
2023-12-07,1162887.011905,122687.01190500014,0,0,0.0,0.0
2023-12-08,1172141.011905,122687.01190500014,0,0,0.0,0.0
2023-12-11,1181677.6119050002,122687.01190500014,0,0,0.0,0.0
2023-12-12,1179158.211905,122687.01190500014,0,0,0.0,0.0
2023-12-13,1171480.311905,122687.01190500014,0,0,0.0,0.0
2023-12-14,1171068.511905,122687.01190500014,0,0,0.0,0.0
2023-12-15,1174609.8619050002,122687.01190500014,0,0,0.0,0.0
2023-12-18,1179957.211905,122687.01190500014,0,0,0.0,0.0
2023-12-19,1180932.661905,122687.01190500014,0,0,0.0,0.0
2023-12-20,1181574.9373650001,1181574.9373650001,3,3,12005.696429999953,0.0
2023-12-21,1176626.484555,123764.18455500028,0,0,0.0,0.0
2023-12-22,1208066.7845550003,123764.18455500028,0,0,0.0,0.0
2023-12-25,1227638.8845550003,123764.18455500028,0,0,0.0,0.0
2023-12-26,1230533.7845550003,123764.18455500028,0,0,0.0,0.0
2023-12-27,1240676.984555,123764.18455500028,0,0,0.0,0.0
2023-12-28,1253471.6845550002,123764.18455500028,0,0,0.0,0.0
2023-12-29,1256869.8845550003,123764.18455500028,0,0,0.0,0.0
2024-01-02,1266591.4845550004,123764.18455500028,0,0,0.0,0.0
2024-01-03,1271502.8845550003,123764.18455500028,0,0,0.0,0.0
2024-01-04,1290007.9845550004,123764.18455500028,0,0,0.0,0.0
2024-01-05,1307389.084555,123764.18455500028,0,0,0.0,0.0
2024-01-08,1308349.2845550003,123764.18455500028,0,0,0.0,0.0
2024-01-09,1311958.7845550003,123764.18455500028,0,0,0.0,0.0
2024-01-10,1321306.1845550002,123764.18455500028,0,0,0.0,0.0
2024-01-11,1315810.1845550002,123764.18455500028,0,0,0.0,0.0
2024-01-12,1316074.4845550004,123764.18455500028,0,0,0.0,0.0
2024-01-15,1304435.7845550003,123764.18455500028,0,0,0.0,0.0
2024-01-16,1314287.084555,123764.18455500028,0,0,0.0,0.0
2024-01-17,1317798.8845550003,123764.18455500028,0,0,0.0,0.0
2024-01-18,1320416.7845550003,123764.18455500028,0,0,0.0,0.0
2024-01-19,1336024.4845550004,123764.18455500028,0,0,0.0,0.0
2024-01-22,1361391.6670950002,1361391.6670950002,3,3,179816.72973000008,0.0
2024-01-23,1355690.3508950002,142644.35089500027,0,0,0.0,0.0
2024-01-24,1352502.750895,142644.35089500027,0,0,0.0,0.0
2024-01-25,1364171.9508950002,142644.35089500027,0,0,0.0,0.0
2024-01-26,1382614.8508950002,142644.35089500027,0,0,0.0,0.0
2024-01-29,1386952.8508950002,142644.35089500027,0,0,0.0,0.0
2024-01-30,1399377.9508950002,142644.35089500027,0,0,0.0,0.0
2024-01-31,1390301.869655,1390301.869655,3,2,36642.12455999997,7731.921999999962
