datetime,total_assets,cash,number_of_trades,number_of_winners,sum_of_winners,sum_of_losers
2024-02-02,1000000.0,1000000.0,0,0,0.0,0.0
2024-02-05,1000000.0,1000000.0,0,0,0.0,0.0
2024-02-06,1000000.0,1000000.0,0,0,0.0,0.0
2024-02-07,1000000.0,1000000.0,0,0,0.0,0.0
2024-02-15,1000000.0,1000000.0,0,0,0.0,0.0
2024-02-16,1000000.0,1000000.0,0,0,0.0,0.0
2024-02-19,1000000.0,1000000.0,0,0,0.0,0.0
2024-02-20,995812.51385,104858.01385000005,0,0,0.0,0.0
2024-02-21,998025.01385,104858.01385000005,0,0,0.0,0.0
2024-02-22,1013872.01385,104858.01385000005,0,0,0.0,0.0
2024-02-23,1007283.81385,104858.01385000005,0,0,0.0,0.0
2024-02-26,1023112.01385,104858.01385000005,0,0,0.0,0.0
2024-02-27,1026573.31385,104858.01385000005,0,0,0.0,0.0
2024-02-28,1027567.4138499999,104858.01385000005,0,0,0.0,0.0
2024-02-29,1043637.51385,104858.01385000005,0,0,0.0,0.0
2024-03-01,1040799.01385,104858.01385000005,0,0,0.0,0.0
2024-03-04,1039302.01385,104858.01385000005,0,0,0.0,0.0
2024-03-05,1039073.1138500001,104858.01385000005,0,0,0.0,0.0
2024-03-06,1029427.6138500001,104858.01385000005,0,0,0.0,0.0
2024-03-07,1032723.9138499999,104858.01385000005,0,0,0.0,0.0
2024-03-08,1027572.31385,104858.01385000005,0,0,0.0,0.0
2024-03-11,1022341.51385,104858.01385000005,0,0,0.0,0.0
2024-03-12,1027581.01385,104858.01385000005,0,0,0.0,0.0
2024-03-13,1060846.51385,104858.01385000005,0,0,0.0,0.0
2024-03-14,1078191.1202500002,486543.62025000004,1,1,90137.74160000001,0.0
2024-03-15,1079236.1202500002,486543.62025000004,0,0,0.0,0.0
2024-03-18,1069892.92025,486543.62025000004,0,0,0.0,0.0
2024-03-19,1066526.1202500002,486543.62025000004,0,0,0.0,0.0
2024-03-20,1073689.70236,1073689.70236,2,0,0.0,16448.039240000013
2024-03-21,1069193.5958800002,112575.19588000007,0,0,0.0,0.0
2024-03-22,1057908.39588,112575.19588000007,0,0,0.0,0.0
2024-03-25,1049367.89588,112575.19588000007,0,0,0.0,0.0
2024-03-26,1066599.29588,112575.19588000007,0,0,0.0,0.0
2024-03-27,1065414.49588,112575.19588000007,0,0,0.0,0.0
2024-03-28,1065024.69588,112575.19588000007,0,0,0.0,0.0
2024-03-29,1057968.99588,112575.19588000007,0,0,0.0,0.0
2024-04-01,1081190.19588,112575.19588000007,0,0,0.0,0.0
2024-04-02,1092421.89588,112575.19588000007,0,0,0.0,0.0
2024-04-03,1079546.49588,112575.19588000007,0,0,0.0,0.0
2024-04-04,1069709.99588,112575.19588000007,0,0,0.0,0.0
2024-04-05,1045093.2958800001,112575.19588000007,0,0,0.0,0.0
2024-04-08,1025635.7958800001,112575.19588000007,0,0,0.0,0.0
2024-04-09,1045190.5958800002,112575.19588000007,0,0,0.0,0.0
2024-04-10,1038636.7958800001,112575.19588000007,0,0,0.0,0.0
2024-04-11,1041191.9958800001,112575.19588000007,0,0,0.0,0.0
2024-04-12,1038593.0958799999,112575.19588000007,0,0,0.0,0.0
2024-04-15,988390.69588,112575.19588000007,0,0,0.0,0.0
2024-04-16,992218.19588,112575.19588000007,0,0,0.0,0.0
2024-04-17,973931.5436800001,345401.7436800001,1,0,0.0,78702.79059999995
2024-04-19,973931.5436800001,345401.7436800001,0,0,0.0,0.0
