action,asset,quantity,price,total_cost,total_revenue,realized_pl
buy,NLG,7625,38.95,298389.620625,,
buy,MBB,12454,23.85,298423.93113,,
buy,VTP,4380,67.8,298359.73079999996,,
sell,VTP,4380,94.1,,410220.8574,111861.12660000002
sell,NLG,7625,42.8,,324816.15499999997,26426.53437499999
sell,MBB,12454,24.15,,299350.50872999994,926.5775999999605
buy,NLG,7814,43.3,339936.4271399999,,
buy,MBB,13671,24.75,339947.52907499997,,
buy,VTP,3743,90.4,339957.52583999996,,
sell,NLG,7814,37.1,,288536.87282,-51399.55431999994
sell,MBB,13671,22.6,,307512.46638,-32435.06269499997
sell,VTP,3743,70.9,,264131.42011,-75826.10572999995
buy,VIB,13855,21.0,292322.4885,,
buy,MBB,13225,22.0,292317.46499999997,,
buy,HCM,11041,26.35,292297.72264500003,,
sell,VIB,13855,22.5,,310272.33375,17949.845250000013
sell,MBB,13225,23.45,,308668.656625,16351.191625000036
sell,HCM,11041,29.45,,323629.209985,31331.487339999992
buy,MWG,5131,60.5,311884.49984999996,,
buy,FPT,2282,136.0,311810.6544,,
buy,VIB,13736,22.6,311892.63792,,
sell,MWG,5131,63.5,,324287.15304999996,12402.6532
sell,FPT,2282,133.3,,302760.90418,-9049.750219999987
sell,VIB,13736,22.0,,300771.6976,-11120.940319999994
buy,MBB,13282,23.2,309590.6692799999,,
buy,ACB,12551,24.55,309575.24713499995,,
buy,VIB,14135,21.8,309591.2721,,
sell,MBB,13282,25.2,,333133.27991999994,23542.610640000028
sell,ACB,12551,24.75,,309177.254925,-397.9922099999385
sell,VIB,14135,21.35,,300363.873425,-9227.398675000004
buy,STB,10768,29.0,313739.6784,,
buy,ACB,13011,24.0,313731.6408,,
buy,VTP,4271,73.1,313677.48746999993,,
sell,STB,10768,29.65,,317770.62536,4030.9469600000302
sell,ACB,13011,24.1,,312091.34403000004,-1640.2967699999572
sell,VTP,4271,77.2,,328171.51036,14494.02289000008
buy,STB,10594,29.95,318781.56441,,
buy,MBB,12819,24.75,318761.420175,,
buy,ACB,13003,24.4,318764.3840399999,,
sell,STB,10594,30.85,,325288.82297000004,6507.258560000046
sell,MBB,12819,24.75,,315779.07982499996,-2982.340350000013
sell,ACB,13003,25.65,,331959.37333499995,13194.989295000036
buy,VHM,7382,43.65,323738.75421,,
buy,STB,10462,30.8,323744.07912,,
buy,VTP,4053,79.5,323727.90345,,
sell,VHM,7382,47.8,,351201.15988,27462.405670000007
sell,STB,10462,35.25,,367052.20814999996,43308.12902999995
sell,VTP,4053,86.0,,346919.77739999996,23191.87394999998
buy,NLG,9178,38.15,351786.36129,,
buy,VTP,4076,85.9,351774.00348,,
buy,VIB,18675,18.75,351801.984375,,
sell,VTP,4076,122.5,,496963.24299999996,145189.23951999994
sell,NLG,9178,37.8,,345297.83651999995,-6488.524770000018
sell,VIB,18675,18.15,,337358.17912499997,-14443.805250000092
buy,VTP,3198,121.0,388776.70259999996,,
buy,CTR,3236,119.6,388844.6203199999,,
buy,STB,11711,33.05,388867.67818499997,,
sell,VTP,3198,142.0,,451981.65479999996,63204.9522
sell,CTR,3236,122.5,,394546.87299999996,5702.252680000034
sell,STB,11711,33.85,,394554.188455,5686.510270000028
buy,VIB,20000,18.95,380781.3,,
buy,ACB,16435,24.9,411154.88804999995,,
buy,CTR,3340,122.5,411073.00499999995,,
sell,VIB,20000,20.1,,400110.6,19329.29999999999
sell,ACB,16435,25.0,,408943.8875,-2211.000549999939
sell,CTR,3340,128.9,,428502.5278,17429.522800000035
buy,STB,11636,36.05,421449.34565999993,,
buy,ACB,16813,24.95,421455.92644499993,,
buy,MBB,19198,21.85,421447.83861000004,,
sell,STB,11636,37.0,,428508.4996,7059.153939999989
sell,ACB,16813,25.35,,424206.36511500005,2750.4386700001196
sell,MBB,19198,22.4,,428014.03455999994,6566.195949999907
