number,value,params_fund_net_buying,params_institutional_weight,params_number_fund_holdings,params_pe,params_revenue_growth,params_roe,params_stock_weight_option,params_take_profit,params_trailing_stop_loss,state
0,-0.12219908564721225,0.1,0.17500000000000002,0.7750000000000001,0.05,0.375,0.325,softmax,0.1,0.22500000000000003,COMPLETE
1,0.09611549394642863,0.5,0.30000000000000004,0.22500000000000003,0.1,0.325,0.175,softmax,0.125,0.5,COMPLETE
2,-0.10553272933445423,0.55,0.525,0.05,0.07500000000000001,0.125,0.325,linear,0.125,0.175,COMPLETE
3,0.03688203463738622,0.425,0.675,0.1,0.47500000000000003,0.05,0.275,softmax,0.07500000000000001,0.5,COMPLETE
4,0.02745885887460188,0.8750000000000001,0.2,0.1,0.05,0.47500000000000003,0.47500000000000003,softmax,0.3,0.15000000000000002,COMPLETE
5,0.067263633443674,0.375,0.32500000000000007,0.2,0.125,0.2,0.425,softmax,0.05,0.325,COMPLETE
6,0.059292847892793044,0.2,0.775,0.05,0.175,0.375,0.425,equal,0.5,0.3,COMPLETE
7,0.22810231063734557,0.325,0.6250000000000001,0.07500000000000001,0.375,0.2,0.175,equal,0.45,0.4,COMPLETE
8,0.08593761199170707,0.525,0.7500000000000001,0.375,0.22500000000000003,0.275,0.275,softmax,0.375,0.35000000000000003,COMPLETE
9,0.00427843438370859,0.8250000000000001,0.5,0.07500000000000001,0.125,0.4,0.22500000000000003,linear,0.175,0.05,COMPLETE
10,0.11831707042462583,0.275,0.925,0.6250000000000001,0.4,0.2,0.05,equal,0.5,0.4,COMPLETE
11,0.1174826933516725,0.25,0.9500000000000001,0.675,0.375,0.2,0.05,equal,0.5,0.4,COMPLETE
12,0.056577930562219145,0.275,0.975,0.5,0.35000000000000003,0.175,0.05,equal,0.4,0.425,COMPLETE
13,0.19758568521261816,0.05,0.6250000000000001,0.5750000000000001,0.45,0.1,0.125,equal,0.425,0.425,COMPLETE
14,0.10283325623332586,0.07500000000000001,0.6250000000000001,0.425,0.47500000000000003,0.07500000000000001,0.15000000000000002,equal,0.425,0.45,COMPLETE
15,0.06743621189492666,0.7250000000000001,0.025,0.15000000000000002,0.3,0.125,0.125,equal,0.3,0.35000000000000003,COMPLETE
16,-0.0871313691717061,0.05,0.47500000000000003,0.8750000000000001,0.425,0.275,0.125,equal,0.35000000000000003,0.275,COMPLETE
17,0.0992878438586992,0.6500000000000001,0.8250000000000001,0.15000000000000002,0.325,0.1,0.2,equal,0.22500000000000003,0.45,COMPLETE
18,0.30804862708153113,0.15000000000000002,0.6000000000000001,0.325,0.25,0.15000000000000002,0.1,linear,0.45,0.375,COMPLETE
19,0.10802859316591996,0.175,0.42500000000000004,0.3,0.25,0.25,0.22500000000000003,linear,0.45,0.275,COMPLETE
20,0.17797780595641072,0.375,0.5750000000000001,0.3,0.2,0.15000000000000002,0.1,linear,0.35000000000000003,0.375,COMPLETE
21,0.2934969253074132,0.175,0.675,0.55,0.425,0.05,0.1,linear,0.45,0.45,COMPLETE
22,0.3822214165655387,0.15000000000000002,0.7250000000000001,0.5,0.275,0.05,0.1,linear,0.425,0.5,COMPLETE
23,0.24682881306022159,0.15000000000000002,0.8500000000000001,0.5,0.275,0.05,0.1,linear,0.45,0.5,COMPLETE
